uplift_score,uplift_segment,p_treatment,p_control,Converted
0.12839836,Sleeping Dog,0.15942127,0.03102291,0
0.35020393,Persuadable,0.5178842,0.16768028,0
-0.033184588,Sure Thing,0.9505032,0.98368776,1
-0.015711226,Lost Cause,0.10424289,0.11995412,0
0.1853041,Sleeping Dog,0.27434835,0.08904424,0
0.09277511,Sure Thing,0.96877277,0.87599766,1
0.24428388,Persuadable,0.59771836,0.35343447,0
0.5096891,Persuadable,0.6435446,0.13385554,0
0.10880911,Sleeping Dog,0.1410804,0.032271285,0
0.1332644,Sleeping Dog,0.21133709,0.0780727,0
0.12581912,Sleeping Dog,0.13998042,0.014161298,0
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.0135425925,Sure Thing,0.9436338,0.9300912,1
0.0074044466,Sure Thing,0.9554564,0.9480519,1
0.27003372,Sleeping Dog,0.38247988,0.11244615,0
0.3973745,Persuadable,0.790439,0.3930645,1
0.24142945,Sleeping Dog,0.4075794,0.16614994,0
0.10847321,Sleeping Dog,0.16865376,0.06018054,0
0.2583583,Persuadable,0.7815544,0.5231961,1
0.20621693,Persuadable,0.7963234,0.5901065,0
0.09120487,Lost Cause,0.11646882,0.025263952,0
0.23225416,Sleeping Dog,0.3169661,0.084711924,1
0.49422118,Persuadable,0.63642865,0.14220747,0
0.0396844,Lost Cause,0.055754706,0.016070308,0
0.006850779,Sure Thing,0.73448986,0.7276391,1
-0.03408009,Lost Cause,0.3071273,0.34120739,1
-0.032298565,Sure Thing,0.9546333,0.98693186,1
0.26572347,Sleeping Dog,0.3171227,0.051399246,0
0.23124307,Persuadable,0.8521511,0.620908,1
0.16388983,Sleeping Dog,0.20577042,0.041880593,0
0.5267566,Persuadable,0.7157892,0.1890326,0
0.4719535,Persuadable,0.9160328,0.44407928,0
0.675793,Persuadable,0.73696387,0.06117086,0
0.041624248,Lost Cause,0.0666746,0.025050348,0
-0.008202314,Sure Thing,0.9769201,0.98512244,1
0.39335603,Sleeping Dog,0.49089396,0.09753794,0
0.2244345,Persuadable,0.769071,0.5446365,1
0.29038888,Sleeping Dog,0.3596092,0.06922032,0
0.22199628,Persuadable,0.5844737,0.36247745,0
0.03677076,Lost Cause,0.06196335,0.025192587,0
0.12993002,Sleeping Dog,0.19376001,0.06382998,0
-0.030519256,Lost Cause,0.019563539,0.050082795,0
0.022329818,Lost Cause,0.05034042,0.028010603,0
0.23833352,Sleeping Dog,0.3195199,0.08118638,1
0.074270904,Sure Thing,0.99298817,0.91871727,1
0.06222877,Lost Cause,0.07460882,0.012380047,0
0.08215742,Lost Cause,0.14074431,0.0585869,0
0.022653341,Sure Thing,0.9927168,0.97006345,1
-0.16925234,Sure Thing,0.7734745,0.94272685,1
-0.550459,Lost Cause,0.3558111,0.90627015,1
0.021789718,Lost Cause,0.06381712,0.042027403,0
-0.042735815,Sure Thing,0.94106096,0.9837968,1
0.11481556,Sleeping Dog,0.4947098,0.37989423,0
0.1717452,Sleeping Dog,0.2299237,0.0581785,0
0.032022282,Lost Cause,0.11264832,0.08062604,0
0.21508881,Sleeping Dog,0.22913054,0.0140417265,0
-0.042099655,Sure Thing,0.87870187,0.9208015,1
0.02772871,Lost Cause,0.039353866,0.011625157,0
0.1115381,Sleeping Dog,0.12695661,0.015418514,0
0.011004129,Lost Cause,0.017536286,0.0065321564,0
0.16726497,Sleeping Dog,0.23941116,0.07214619,0
0.48123565,Persuadable,0.5629512,0.081715554,0
0.05754597,Lost Cause,0.09753526,0.03998929,0
0.44082487,Persuadable,0.7313284,0.29050356,0
0.02693069,Sure Thing,0.92302245,0.89609176,1
-0.09886818,Lost Cause,0.2316869,0.33055508,1
-0.061625812,Lost Cause,0.009674702,0.071300514,0
0.031865813,Lost Cause,0.07057134,0.038705528,0
0.114477575,Persuadable,0.9564689,0.8419913,1
0.0019989042,Lost Cause,0.012102831,0.010103927,0
0.13141833,Sleeping Dog,0.14180504,0.010386702,0
0.119478285,Persuadable,0.7534427,0.6339644,0
0.15551205,Sleeping Dog,0.21334903,0.05783698,0
0.33493966,Sleeping Dog,0.42900205,0.094062395,0
0.13541055,Persuadable,0.9535324,0.81812185,1
0.029501498,Sure Thing,0.9870144,0.9575129,1
0.486917,Persuadable,0.55699635,0.070079364,0
0.04176855,Sure Thing,0.63850373,0.5967352,1
-0.17141926,Sure Thing,0.7788788,0.9502981,1
0.2449338,Sleeping Dog,0.26496273,0.02002894,0
0.10999288,Sleeping Dog,0.33935806,0.22936518,0
0.09284474,Lost Cause,0.113232724,0.020387987,0
0.6399157,Persuadable,0.852134,0.2122183,0
0.072086774,Lost Cause,0.09868737,0.026600601,0
0.2544605,Persuadable,0.7197287,0.4652682,0
0.065091915,Lost Cause,0.08919572,0.024103807,0
-0.011023402,Sure Thing,0.5712372,0.5822606,0
0.21492839,Sleeping Dog,0.28188717,0.06695879,0
0.016941845,Sure Thing,0.9867006,0.96975875,1
0.0033396855,Lost Cause,0.02165008,0.018310394,0
0.48949578,Persuadable,0.56250435,0.07300857,0
-0.09447569,Sure Thing,0.875038,0.9695137,1
0.019773364,Sure Thing,0.993145,0.9733716,1
-0.3015905,Sure Thing,0.5571521,0.8587426,1
-0.11827153,Sure Thing,0.8183277,0.93659925,1
-0.012752086,Lost Cause,0.10563685,0.118388936,0
0.3581329,Persuadable,0.61532944,0.25719655,0
0.0471597,Lost Cause,0.06617851,0.019018807,0
0.08761934,Lost Cause,0.18373968,0.096120335,0
0.17652625,Persuadable,0.7311078,0.5545815,0
0.2155348,Persuadable,0.98314154,0.76760674,1
-0.028102875,Sure Thing,0.9561526,0.9842555,1
0.09859049,Sure Thing,0.9336762,0.8350857,1
-0.035583466,Lost Cause,0.26678017,0.30236363,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.20070621,Sleeping Dog,0.47915748,0.27845126,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.2651732,Sleeping Dog,0.3561609,0.0909877,0
-0.034978464,Lost Cause,0.16232131,0.19729978,0
0.031244457,Sure Thing,0.9736049,0.94236046,1
0.02572769,Lost Cause,0.08786448,0.06213679,0
0.45789817,Persuadable,0.8458918,0.3879936,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.044629276,Sure Thing,0.99576217,0.9511329,1
0.1421797,Sleeping Dog,0.21582246,0.07364275,0
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.12497647,Sleeping Dog,0.13415942,0.009182941,0
0.12106931,Persuadable,0.68705416,0.56598485,1
-0.075377226,Sure Thing,0.88340145,0.9587787,1
0.03474915,Lost Cause,0.0466305,0.011881352,0
0.17263553,Sleeping Dog,0.3053312,0.13269567,0
0.26095274,Sleeping Dog,0.30984578,0.04889304,0
0.016120085,Lost Cause,0.022231143,0.006111058,0
-0.20873854,Lost Cause,0.39489874,0.6036373,1
-0.03583157,Sure Thing,0.8566124,0.89244395,1
-0.08473635,Sure Thing,0.8795642,0.9643006,1
-0.15837193,Sure Thing,0.70124227,0.8596142,1
0.08728447,Lost Cause,0.10962281,0.02233834,0
0.24987459,Persuadable,0.7821397,0.5322651,1
-0.10003827,Lost Cause,0.1148181,0.21485637,1
0.21446241,Sleeping Dog,0.22851434,0.014051929,0
0.04034561,Lost Cause,0.06816068,0.027815074,0
0.22239399,Persuadable,0.7693787,0.54698473,1
0.062381208,Sure Thing,0.98544276,0.92306155,1
0.031215942,Lost Cause,0.050338577,0.019122636,0
0.033098854,Lost Cause,0.053248238,0.020149386,0
0.19492221,Persuadable,0.9603958,0.7654736,1
0.44043308,Persuadable,0.92685616,0.48642308,0
0.2183491,Persuadable,0.75486517,0.5365161,1
0.1523825,Sleeping Dog,0.40875408,0.2563716,0
0.11258328,Sleeping Dog,0.46400565,0.35142237,0
0.047721427,Lost Cause,0.087394014,0.039672587,0
0.42896518,Persuadable,0.66228616,0.23332098,0
-0.10055548,Lost Cause,0.3034767,0.40403217,1
0.14852673,Sleeping Dog,0.1910088,0.04248208,0
0.20841855,Persuadable,0.9698579,0.7614393,0
0.1113687,Sleeping Dog,0.17294864,0.061579943,0
0.087425984,Lost Cause,0.14894302,0.061517037,0
0.12582341,Sleeping Dog,0.23523484,0.10941143,0
0.23472518,Sleeping Dog,0.39858282,0.16385764,0
0.026453678,Lost Cause,0.037239395,0.010785717,0
0.018690616,Lost Cause,0.26894143,0.25025082,1
0.21762335,Persuadable,0.71811056,0.5004872,0
0.15517595,Sleeping Dog,0.40516058,0.24998462,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.07266945,Sure Thing,0.9945427,0.9218733,1
0.020802498,Sure Thing,0.76727414,0.74647164,0
0.3035571,Sleeping Dog,0.36498043,0.061423324,0
0.20139611,Persuadable,0.96824574,0.76684964,0
0.31526798,Sleeping Dog,0.34288663,0.027618648,0
0.1134526,Sleeping Dog,0.13078232,0.017329725,0
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.020064652,Sure Thing,0.88004553,0.8599809,1
0.06865288,Lost Cause,0.10554075,0.03688787,0
-0.059397437,Lost Cause,0.11004131,0.16943875,0
0.085294664,Lost Cause,0.36544994,0.28015527,0
0.035672273,Lost Cause,0.08143768,0.045765404,0
0.412621,Persuadable,0.6441921,0.23157111,1
-0.09716427,Sure Thing,0.7668651,0.86402935,1
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.18846576,Sleeping Dog,0.2494786,0.06101283,0
0.11375263,Sleeping Dog,0.1309338,0.01718117,0
0.24890801,Sleeping Dog,0.2621205,0.013212467,0
0.025885344,Sure Thing,0.978182,0.9522967,1
0.057592083,Lost Cause,0.065446354,0.007854273,0
-0.055543423,Sure Thing,0.8549247,0.9104681,1
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
-0.06751466,Sure Thing,0.87446123,0.9419759,1
0.6632189,Persuadable,0.67287827,0.009659368,0
0.3557637,Sleeping Dog,0.3671772,0.011413475,0
-0.18952364,Sure Thing,0.7220848,0.91160846,1
0.16066188,Persuadable,0.7325744,0.5719125,1
-0.012895942,Sure Thing,0.96957177,0.9824677,1
0.019773364,Sure Thing,0.993145,0.9733716,1
0.2938852,Persuadable,0.7205026,0.4266174,1
0.111442365,Sleeping Dog,0.1286251,0.017182732,0
0.1093433,Sleeping Dog,0.13218917,0.022845872,0
0.08865691,Lost Cause,0.15049641,0.0618395,0
0.017059587,Lost Cause,0.023559695,0.006500108,0
-0.09147063,Lost Cause,0.25646734,0.34793797,1
0.3897149,Persuadable,0.57458794,0.18487304,0
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.28557095,Sleeping Dog,0.29985163,0.014280679,0
-0.08966118,Lost Cause,0.4318766,0.5215378,0
0.10618318,Sleeping Dog,0.21042177,0.10423859,0
-0.04493574,Lost Cause,0.07863017,0.12356591,0
0.062286373,Lost Cause,0.096865945,0.03457957,0
0.31658673,Persuadable,0.7615263,0.44493955,0
0.53681344,Persuadable,0.6608667,0.124053225,0
0.23472518,Sleeping Dog,0.39858282,0.16385764,0
0.046256047,Lost Cause,0.056086775,0.009830728,0
0.11691028,Persuadable,0.99021566,0.8733054,1
0.13074262,Sleeping Dog,0.15072688,0.019984256,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.15291992,Sleeping Dog,0.24272199,0.08980207,0
0.13918954,Sleeping Dog,0.28877902,0.14958948,0
0.35058376,Sleeping Dog,0.49198207,0.14139831,1
0.32352823,Sleeping Dog,0.3333789,0.00985067,0
0.557386,Persuadable,0.6279182,0.070532225,0
0.03845922,Lost Cause,0.064838804,0.026379583,0
0.014591314,Lost Cause,0.050025556,0.035434242,0
-0.02020891,Lost Cause,0.1706651,0.19087401,1
-0.015026808,Sure Thing,0.9597684,0.9747952,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
-0.014741987,Lost Cause,0.39505324,0.40979522,1
0.26093733,Sleeping Dog,0.29836053,0.03742319,0
0.07164478,Sure Thing,0.83295405,0.76130927,0
0.098710306,Lost Cause,0.15461683,0.055906527,0
0.2514971,Persuadable,0.927843,0.6763459,0
0.15253669,Persuadable,0.66927505,0.51673836,1
0.19139393,Sleeping Dog,0.27830586,0.08691193,1
0.36208946,Persuadable,0.9154282,0.55333877,0
0.27518672,Persuadable,0.762273,0.4870863,1
0.23937537,Sleeping Dog,0.30433056,0.06495519,0
-0.02005525,Lost Cause,0.18216482,0.20222007,0
0.27892938,Persuadable,0.6222162,0.34328684,0
0.10403126,Sleeping Dog,0.1357481,0.031716846,0
0.6672987,Persuadable,0.7231057,0.055807058,0
0.15306303,Sleeping Dog,0.1627728,0.009709783,0
0.08504414,Lost Cause,0.09526045,0.010216313,0
0.16743678,Persuadable,0.58533955,0.41790277,1
0.0068365335,Sure Thing,0.99051267,0.98367614,1
-0.0061647296,Sure Thing,0.95923877,0.9654035,1
-0.026943982,Sure Thing,0.8586904,0.88563436,1
-0.068589516,Lost Cause,0.019443152,0.08803267,0
0.012561709,Lost Cause,0.01682374,0.0042620315,0
0.44043308,Persuadable,0.92685616,0.48642308,0
0.047582947,Lost Cause,0.17252736,0.12494441,0
0.036436632,Lost Cause,0.062460672,0.02602404,0
0.052726164,Lost Cause,0.07710517,0.024379008,0
0.12697172,Persuadable,0.9770462,0.85007447,1
-0.17982809,Lost Cause,0.1989593,0.3787874,0
0.45777342,Persuadable,0.5016761,0.043902677,0
0.044706516,Lost Cause,0.16160387,0.11689735,0
-0.110931754,Sure Thing,0.8504388,0.9613705,1
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.43470854,Sleeping Dog,0.46094343,0.026234908,0
0.6196445,Persuadable,0.93452513,0.3148806,0
-0.045862615,Sure Thing,0.9254988,0.9713614,1
0.16525543,Sleeping Dog,0.17742744,0.012172016,0
-0.032317877,Sure Thing,0.5210469,0.55336475,0
0.030449238,Lost Cause,0.042932663,0.012483425,0
0.014175627,Lost Cause,0.04258093,0.028405301,0
0.17921571,Sleeping Dog,0.25381953,0.07460381,0
0.026885826,Lost Cause,0.046484463,0.019598637,0
0.027319496,Lost Cause,0.03652248,0.009202985,0
0.046501666,Lost Cause,0.07954144,0.03303977,0
-0.012752086,Lost Cause,0.10563685,0.118388936,0
-0.010509193,Sure Thing,0.8427375,0.8532467,1
0.11215177,Sleeping Dog,0.123420455,0.011268682,0
0.0045635626,Lost Cause,0.07224562,0.06768206,0
-0.05940509,Sure Thing,0.80968666,0.86909175,1
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
-0.0051309466,Sure Thing,0.9833573,0.98848826,1
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.22306454,Sleeping Dog,0.4461753,0.22311077,0
0.000580132,Sure Thing,0.9689869,0.9684068,1
0.028251503,Lost Cause,0.04944695,0.021195449,0
0.18007243,Sleeping Dog,0.23839955,0.058327124,0
0.0047367215,Sure Thing,0.9850301,0.9802934,1
0.028734203,Lost Cause,0.060272723,0.03153852,0
0.16513562,Persuadable,0.94330144,0.7781658,1
0.18129525,Sleeping Dog,0.28325665,0.101961404,0
0.19276583,Sleeping Dog,0.26125178,0.068485945,0
0.26569948,Sleeping Dog,0.278841,0.01314152,0
0.02253338,Lost Cause,0.02792565,0.00539227,0
0.12592572,Persuadable,0.9269892,0.8010635,0
-0.0267241,Sure Thing,0.9536135,0.9803376,1
0.4083413,Sleeping Dog,0.4222438,0.013902523,0
0.44043308,Persuadable,0.92685616,0.48642308,0
0.26218832,Sleeping Dog,0.3544539,0.09226556,0
0.6632189,Persuadable,0.67287827,0.009659368,0
-0.0050495863,Sure Thing,0.9709834,0.976033,1
-0.50657403,Lost Cause,0.2863736,0.79294765,1
0.33272147,Persuadable,0.9846282,0.6519067,0
0.28821555,Sleeping Dog,0.32975414,0.04153859,0
0.0018438697,Sure Thing,0.98105705,0.9792132,1
0.2377209,Persuadable,0.83760124,0.59988034,1
0.032310612,Lost Cause,0.04983073,0.017520117,0
-0.01996772,Lost Cause,0.19162883,0.21159655,0
0.2992351,Persuadable,0.9220444,0.6228093,1
0.1176059,Sleeping Dog,0.138556,0.0209501,0
-0.064035,Lost Cause,0.2044853,0.2685203,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
-0.0045687295,Lost Cause,0.03553808,0.04010681,0
0.062416214,Lost Cause,0.10249724,0.040081028,0
0.23472518,Sleeping Dog,0.39858282,0.16385764,0
0.057768743,Lost Cause,0.08118503,0.023416284,0
0.31364357,Persuadable,0.7765934,0.4629498,1
0.12845299,Sleeping Dog,0.16040531,0.031952314,0
0.29029322,Persuadable,0.57413626,0.28384304,0
-0.07917768,Lost Cause,0.30343258,0.38261026,0
0.14649343,Sleeping Dog,0.1620666,0.01557316,0
0.17627272,Sleeping Dog,0.23459984,0.058327124,0
0.030449238,Lost Cause,0.042932663,0.012483425,0
0.032479882,Sure Thing,0.9979018,0.9654219,1
0.3600667,Sleeping Dog,0.39209077,0.032024052,0
0.26883417,Sleeping Dog,0.3226359,0.05380173,0
0.44043308,Persuadable,0.92685616,0.48642308,0
0.43813783,Persuadable,0.6965062,0.25836837,1
0.1569979,Sleeping Dog,0.19638737,0.039389458,0
0.5370996,Persuadable,0.9281371,0.39103752,0
0.56965184,Persuadable,0.79954785,0.22989598,0
-0.20946902,Sure Thing,0.5275116,0.7369806,1
0.13075727,Persuadable,0.71299714,0.58223987,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.35979855,Persuadable,0.50011355,0.14031501,0
0.07582313,Sure Thing,0.5851736,0.5093505,1
0.4716953,Persuadable,0.69497734,0.22328204,1
0.017260492,Sure Thing,0.971806,0.9545455,1
0.19772917,Persuadable,0.9672695,0.7695403,1
0.05952871,Lost Cause,0.08211232,0.02258361,0
0.15864047,Sleeping Dog,0.1807687,0.022128219,0
0.062853925,Lost Cause,0.075069405,0.012215483,0
0.024300013,Lost Cause,0.05346096,0.029160947,0
0.051460773,Lost Cause,0.0612915,0.009830728,0
0.10037474,Sleeping Dog,0.1145874,0.014212655,0
0.04543872,Lost Cause,0.06507347,0.019634746,0
0.17162094,Sleeping Dog,0.19484542,0.023224486,0
0.067354396,Lost Cause,0.078324005,0.010969608,0
0.016355205,Lost Cause,0.039950654,0.023595449,0
0.0038226172,Lost Cause,0.08786363,0.084041014,0
0.050546873,Lost Cause,0.0969584,0.046411525,0
0.1069811,Sleeping Dog,0.14867719,0.041696083,0
0.1890645,Sleeping Dog,0.26655775,0.07749325,0
0.0060761124,Lost Cause,0.18916239,0.18308628,1
0.37333345,Persuadable,0.6110228,0.23768933,0
0.21344078,Persuadable,0.72984844,0.51640767,0
0.028579984,Lost Cause,0.037339095,0.00875911,0
0.1325446,Sleeping Dog,0.45147783,0.31893322,1
0.039243907,Lost Cause,0.11349019,0.07424628,0
0.38262048,Sleeping Dog,0.47941422,0.09679374,0
0.10364225,Sleeping Dog,0.210814,0.10717175,0
-0.21653864,Lost Cause,0.34924826,0.5657869,1
0.03215346,Lost Cause,0.07916636,0.0470129,0
0.19242166,Sleeping Dog,0.21235132,0.01992966,0
0.1182989,Sleeping Dog,0.17262883,0.054329928,0
0.35409763,Persuadable,0.5976492,0.24355158,0
0.20625673,Sleeping Dog,0.29486945,0.08861272,0
0.7069794,Persuadable,0.85315263,0.14617325,0
0.26968268,Sleeping Dog,0.3721341,0.102451414,0
-0.11861724,Sure Thing,0.7622896,0.8809068,1
-0.2094365,Lost Cause,0.12091745,0.33035395,0
0.50451934,Persuadable,0.7717857,0.2672663,0
0.15446824,Sleeping Dog,0.25629306,0.10182483,0
0.032452337,Lost Cause,0.05317584,0.020723505,0
0.2353664,Persuadable,0.7302115,0.4948451,1
0.27348545,Sleeping Dog,0.30704027,0.033554826,0
0.38127393,Persuadable,0.6328174,0.25154346,0
0.027509332,Sure Thing,0.9958146,0.9683053,1
0.06941694,Sure Thing,0.978182,0.9087651,1
0.01747179,Sure Thing,0.9929478,0.975476,1
-0.05107534,Sure Thing,0.8678413,0.91891664,1
0.057886846,Lost Cause,0.068874665,0.010987818,0
0.33545616,Sleeping Dog,0.42884886,0.09339269,0
0.26178622,Persuadable,0.8016903,0.53990406,1
0.11639041,Sleeping Dog,0.38887054,0.27248013,0
-0.07722908,Sure Thing,0.88770276,0.96493185,1
0.16239175,Sleeping Dog,0.18576653,0.023374787,0
0.04438334,Lost Cause,0.05352961,0.00914627,0
0.103132665,Sleeping Dog,0.4662664,0.36313373,0
0.009710956,Lost Cause,0.033732466,0.02402151,0
0.0076476336,Sure Thing,0.9951373,0.98748964,1
0.06941694,Sure Thing,0.978182,0.9087651,1
0.15894806,Sleeping Dog,0.18204203,0.023093974,0
0.021020945,Lost Cause,0.07852452,0.057503577,0
0.06891583,Lost Cause,0.085966974,0.017051142,0
0.03889225,Lost Cause,0.051370416,0.012478165,0
-0.0015772749,Lost Cause,0.019810513,0.021387788,0
0.32794255,Sleeping Dog,0.4900647,0.16212215,1
0.052113805,Lost Cause,0.093061924,0.04094812,0
0.23800081,Sleeping Dog,0.31781167,0.079810865,0
0.06064853,Lost Cause,0.21707015,0.15642162,0
0.1735574,Persuadable,0.94891804,0.77536064,1
0.54503703,Persuadable,0.67087626,0.12583923,0
0.013232112,Sure Thing,0.98542017,0.97218806,1
0.004949834,Lost Cause,0.029361928,0.024412094,0
0.0343287,Lost Cause,0.043943975,0.009615277,0
0.0004335642,Sure Thing,0.986384,0.9859504,1
0.6632189,Persuadable,0.67287827,0.009659368,0
0.075960524,Lost Cause,0.11959263,0.043632105,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.056254685,Lost Cause,0.073380366,0.017125683,0
0.44043308,Persuadable,0.92685616,0.48642308,0
0.30275849,Sleeping Dog,0.3169979,0.01423941,0
0.021250427,Sure Thing,0.98250026,0.9612498,1
0.019803379,Lost Cause,0.03301991,0.013216533,0
0.030449238,Lost Cause,0.042932663,0.012483425,0
0.5025396,Persuadable,0.7233566,0.22081704,0
0.6017876,Persuadable,0.9250245,0.32323688,0
0.18007243,Sleeping Dog,0.23839955,0.058327124,0
0.098269686,Lost Cause,0.14751236,0.04924267,0
0.33747348,Sleeping Dog,0.39878574,0.061312247,1
0.15332475,Sleeping Dog,0.16703393,0.013709174,0
0.0062630586,Lost Cause,0.053883813,0.047620755,0
0.54399496,Persuadable,0.6287312,0.084736235,0
-0.07779443,Sure Thing,0.8751524,0.95294684,1
0.021998107,Sure Thing,0.99586725,0.97386914,1
0.031290375,Lost Cause,0.06168618,0.030395806,0
0.11027172,Sleeping Dog,0.13943698,0.029165253,0
0.12035248,Sleeping Dog,0.3499886,0.22963613,0
0.026007868,Lost Cause,0.072592795,0.046584927,0
0.027110703,Lost Cause,0.10151255,0.07440185,0
0.049281064,Lost Cause,0.090360306,0.04107924,0
0.03747847,Lost Cause,0.057113215,0.019634746,0
0.11915594,Persuadable,0.70667344,0.5875175,1
0.59064096,Persuadable,0.67009544,0.079454504,0
0.19347978,Persuadable,0.7433982,0.5499184,0
0.03191024,Sure Thing,0.9900315,0.95812124,1
